pto. sup. terrestre,Fecha/Date,Pais/Country,Lugar/Place,Coordenadas del centro de la imagen/Center cordinates,Orientation,Observaciones/comments,Enlace a la ficha/Link,Enlace  a la imagen/Image,Autor/Author of clasification,Calidad/Cuality,Focal/ Focal Length,Cámara/ Model,T. Exposición/ Shutter,Apertura/ Aperture,ISO,Clasificada(1)/ No Clasificada(0),Other links(twitter and other),Similar images,Tilt
,2004:11:19 17:53:43,NETHERLANDS,"AMSTERDAM, ROTTERDAM AT NIGHT",,,,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS010&roll=E&frame=7731,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS010/ISS010-E-7731.JPG,Marian,,¿?,NIKON D1,¿?,¿?,¿?,1,,,
,12/12/2007 20:45:24,Italy,Rome,"42.0, 12.5",Nadir: noreste,,http://eol.jsc.nasa.gov/scripts/sseop/QuickView.pl?directory=ESC&ID=ISS016-E-16219,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS016/ISS016-E-16219.jpg,Guillermo Marian,,85.0 mm,NIKON D2X,0.05,1.4,,1,http://www.flickr.com/photos/magisstra/5309176283/in/photostream/,,
,1/30/2008 22:42:27,Spain,Madrid,"40,61, -3,74",North bottom,,http://eol.jsc.nasa.gov/scripts/sseop/QuickView.pl?directory=ESC&ID=ISS016-E-26126,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS016/ISS016-E-26126.jpg,Alex,muy de canto,85 mm,NIKON D2Xs,0.05,1.4,HI-1,1,,,
,2003:02:03 20:24:54,Serbia,Belgrade,"44.0, 21.0",,,http://eol.jsc.nasa.gov/scripts/sseop/QuickView.pl?directory=ESC&ID=ISS006-E-22876,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS006/ISS006-E-22876.jpg,Marian,Baja,¿?,K760C-01390,0.5,¿?,400,1,http://www.flickr.com/photos/magisstra/5428851918/in/photostream/,,
,2003:10:02 20:13:26,Italy,Po Valley,"45.5, 11.0",Nadir: noroeste,,http://eol.jsc.nasa.gov/scripts/sseop/QuickView.pl?directory=ESC&ID=ISS007-E-16116,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS007/ISS007-E-16116.jpg,"Marian, Guillermo",,50.0 mm,KODAK,1.3,1.4,200,1,http://www.flickr.com/photos/magisstra/5428852364/in/photostream/,,
,2009:09:10 21:37:01,UK,London,"51.5, 0.0",Nadir: oeste,,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS020&roll=E&frame=39454,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS020/ISS020-E-39454.JPG,Marian,,70.00 mm,NIKON D2Xs,0.6,2.8,3200,1,,,
,2009:10:25 00:03:45,Spain,La manga,"37,729, -0,830",ESE arriba,,http://eol.jsc.nasa.gov/scripts/sseop/QuickView.pl?directory=ESC&ID=ISS021-E-15145,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS021/ISS021-E-15145.jpg,Alex,movida,180.0 mm,NIKON D2Xs,0.3,2.8,400,0,,,
,2009:10:25 00:03:59,Spain,Valencia,"39.476,-0.375",Noreste arriba,despejado,http://eol.jsc.nasa.gov/scripts/sseop/QuickView.pl?directory=ESC&ID=ISS021-E-15146,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS021/ISS021-E-15146.jpg,Alex,movida,180.0 mm,NIKON D2Xs,0.3,2.8,400,1,,,
,2009:10:29 22:45:09,Spain,Tenerife y Gran Canaria,"28.087,-16.136",norte arriba,despejado,http://eol.jsc.nasa.gov/scripts/sseop/QuickView.pl?directory=ESC&ID=ISS021-E-17003,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS021/ISS021-E-17003.JPG,Alex,,58.0 mm,NIKON D2Xs,0.2,1.2,800,0,,,
,2009:10:29 22:50:16,Spain,Costa de Valencia,"38.767,-0.231",Oeste Arriba,,http://eol.jsc.nasa.gov/scripts/sseop/QuickView.pl?directory=ESC&ID=ISS021-E-17023,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS021/ISS021-E-17023.jpg,Alex,,58.0 mm,NIKON D2Xs,0.2,1.2,800,0,,,
