'Belgrade', 'ISS006-E-22876', 44.0, 21.0, 44.8178787, 20.4568089, 44.9, 18.4, 'KODAK S/N:  K760C-01390', '20030203', '202454', 204.0, 298.0, -47.0, '1/2', 'f--', '400', '0.0', 1.0, 0.0, 'http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS006&roll=E&frame=22876'
'Asturias', 'ISS006-E-25290', 44.2, -8.4, 43.2714307, -5.85395537962073, 44.2, -8.4, 'KODAK S/N:  K760C-01390', '20030208', '201844', 203.0, 275.0, -27.0, '1/4', 'f--', '400', '0.0', 0.0, 0.0, 'http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS006&roll=E&frame=25290'
'Madrid', 'ISS006-E-25299', 40.5, -3.5, 40.52516075, -3.77181653956588, 41.8, -3.4, 'KODAK S/N:  K760C-01390', '20030208', '201955', 203.0, 277.0, -31.0, '1/4', 'f--', '400', '0.0', 1.0, 0.0, 'http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS006&roll=E&frame=25299'
'Valencia', 'ISS006-E-25300', 41.0, -2.0, 39.55773285, -0.299777427158372, 41.0, -2.0, 'KODAK S/N:  K760C-01390', '20030208', '202016', 203.0, 278.0, -32.0, '1/4', 'f--', '400', '0.0', 0.0, 0.0, 'http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS006&roll=E&frame=25300'
'Valencia', 'ISS006-E-25300', 41.0, -2.0, 39.55773285, -0.299777427158372, 41.0, -2.0, 'KODAK S/N:  K760C-01390', '20030208', '202016', 203.0, 278.0, -32.0, '1/4', 'f--', '400', '0.0', 0.0, 0.0, 'http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS006&roll=E&frame=25300'
'New york', 'ISS006-E-37526', 40.5, -74.0, 40.7305991, -73.9865812, 40.3, -76.9, 'KODAK S/N:  K760C-01390', '20030311', '064901', 209.0, 36.0, -48.0, '1/5', 'f--', '400', '0.0', 1.0, 0.0, 'http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS006&roll=E&frame=37526'
'New york', 'ISS006-E-51705', 42.0, -72.0, 40.7305991, -73.9865812, nan, nan, 'N1: Nikon D1', '2003____', '', nan, nan, nan, '', '', 'nan', '0.0', 1.0, 0.0, 'http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS006&roll=E&frame=51705'
'Po Valley', 'ISS007-E-16116', 45.5, 11.0, 35.2517998, -116.6931274, 44.9, 11.6, 'KODAK S/N:  K760C-01469', '20031002', '201326', 204.0, 305.0, -35.0, '1.3s', 'f1.4', '200', '0.0', 1.0, 0.0, 'http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS007&roll=E&frame=16116'
'New york', 'ISS007-E-16441', 41.0, -72.0, 40.7305991, -73.9865812, 40.7, -70.7, 'KODAK S/N:  K760C-01469', '20031006', '010149', 204.0, 293.0, -31.0, '1.3s', 'f1.4', '200', '0.0', 1.0, 0.0, 'http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS007&roll=E&frame=16441'
'AMSTERDAM', 'ISS010-E-7731', 51.8, 13.0, 52.3710088, 4.9001115, 51.7, 10.0, 'N1: Nikon D1', '20041119', '174843', 189.0, 266.0, -22.0, 'nan', 'nan', 'nan', '0.0', 1.0, 0.0, 'http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS010&roll=E&frame=7731'
'Zaragoza', 'ISS016-E-12099', 36.3, -4.0, 41.6521342, -0.8809428, 36.3, -4.0, 'KODAK S/N:  K760C-01462', '20071122', '225213', 181.0, 311.0, -68.0, '1/15', 'LO', '100', '0.0', 0.0, 0.0, 'http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS016&roll=E&frame=12099'
' France', 'ISS016-E-16216', 44.3, 0.5, 0.0, 0.0, 44.3, 0.5, ' NIKON D2Xs', '20071212', '204302', 179.0, 283.0, -46.0, ' 1/20', ' F1.4', ' HI-1', '0.0', 0.0, 0.0, 'http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS016&roll=E&frame=16216'
'Rome', 'ISS016-E-16219', 42.0, 12.5, 41.8932575, 12.4830619, 39.1, 10.3, ' NIKON D2Xs', '20071212', '204524', 180.0, 286.0, -55.0, ' 1/20', ' F1.4', ' HI-1', '0.0', 1.0, 0.0, 'http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS016&roll=E&frame=16219'
'Chicago', 'ISS016-E-16835', 42.6, -86.0, 41.8756208, -87.6243706, 42.6, -86.6, ' NIKON D2Xs', '20071217', '010421', 179.0, 265.0, -30.0, ' 1/20', ' F2.8', ' HI-1', '0.0', 0.0, 0.0, 'http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS016&roll=E&frame=16835'
'Mexico city', 'ISS016-E-21628', 21.0, -101.0, 19.4325301, -99.1332102, 21.0, -101.5, ' NIKON D2Xs', '20080108', '090945', 178.0, 99.0, -58.0, ' 1/30', ' F1.4', ' HI-1', '0.0', 0.0, 0.0, 'http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS016&roll=E&frame=21628'
